,Interested_in,City,Disposition,Referer,Campaign,Disp
0,",Credit Card",Guwahati,Not Contactable-Busy,Yes First,YES_First_Savings,NC
1,",Credit Card,Loans,Current Account,Trading Account",Kanpur,Not Contactable-Busy,Yes First,YES_First_Savings,NC
2,Saving Account,Coimbatore,Not Contactable-Ringing No Response,Savings Account-SeniorcitizenFD,YESBANK_FD,NC
3,",Current Account",Allahabad,Customer Disconnected,Yes First,YES_First_Savings,Customer Disconnected
4,",Trading Account",Thane,Customer Disconnected,Yes First,YES_First_Savings,Customer Disconnected
5,",Trading Account",Kalyan - Dombivili,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
6,,Nellore,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
7,",Trading Account",Bangalore,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
8,",Credit Card,Loans,Current Account,Trading Account",Mumbai Suburban,Not Contactable-Not reachable / Switched Off ,Yes First,YES_First_Savings,NC
9,",Trading Account",Allahabad,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
10,",Credit Card,Current Account",Salem,Not Contactable-Language Barrier,Yes First,YES_First_Savings,NC
11,",Trading Account",Patna,Not Contactable-Busy,Yes First,YES_First_Savings,NC
12,,RAMGARH,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
13,,Chennai,Customer Disconnected,Yes First,YES_First_Savings,Customer Disconnected
14,",Trading Account",Gwalior,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
15,",Current Account",Bhubhaneshwar,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
16,Saving Account,Meerut,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
17,",Credit Card",Vizianagaram,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
18,,Mumbai,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
19,",Loans",Faridkot,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
20,",Credit Card,Current Account,Trading Account",Varanasi,Not Contactable-Busy,Savings Account customizable,mailer_publishername_6percent_SA-affiliate,NC
21,,Jalor,Not Contactable-Busy,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,NC
22,,Lucknow,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
23,",Credit Card",Shahjahanpur,Not Contactable-Busy,Yes First,YES_First_Savings,NC
24,",Credit Card,Loans,Current Account,Trading Account",Kalyan - Dombivili,Not Contactable-Ringing No Response,Yes First,Search_India_YES_First_Advantage_BMM,NC
25,",Current Account",Alwar,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
26,",Trading Account",Pune,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,NC
27,,Ambala,Not Contactable-Busy,Savings Account-SeniorcitizenFD,YESBANK_FD,NC
28,",Credit Card",Noida,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,,NC
29,",Credit Card,Loans,Current Account,Trading Account",Bhopal,Customer Disconnected,Savings Account-SeniorcitizenFD,YESBANK_FD,Customer Disconnected
30,,Hubli,Not Contactable-Not reachable / Switched Off ,Savings Account customizable - Wishfin,Deal4loans,NC
31,,New Delhi,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_BMM-google,Customer Disconnected
32,",Loans",Tiruchirappalli,Not Contactable-Language Barrier,Savings Account-fixed deposit,Yes_Bank_WC_Green_FD_Investment-facebook,NC
33,",Loans",Balotra,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
34,",Loans",Hyderabad,Not Contactable-Language Barrier,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
35,,MUMBAI,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
36,",Trading Account",Jalandhar,Not Contactable-Busy,Savings Account-SeniorcitizenFD,YESBANK_FD,NC
37,",Credit Card",Bangalore,Not Contactable-Not reachable / Switched Off ,Yes First,YES_First_Savings,NC
38,,Balotra,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
39,",Current Account",Dibrugarh,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
40,,Bangalore,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,Customer Disconnected
41,,Baramati,Customer Disconnected,Savings Account customizable,mailer_publishername_6percent_SA-affiliate,Customer Disconnected
42,",Loans",Tiruppur,Not Contactable-Language Barrier,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
43,",Trading Account",Hyderabad,CDR Disposition - Not Contactable,Yes First,YES_First_Savings,NC
44,,Vijayawada,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
45,",Credit Card",Amreli,Not Contactable-Ringing No Response,Savings Account-fixed deposit,mailer_Icubes_Fixeddeposit_SA_3010-affiliate,NC
46,",Loans",Hyderabad,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
47,,Gadag,Customer Disconnected,Savings Account-70 percent,mailer_Luvia_70percent_SA_Pub8-affiliate,Customer Disconnected
48,",Loans",Jodhpur,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
49,",Credit Card",Mumbai,Customer Disconnected,Yes First,YES_First_Savings,Customer Disconnected
50,",Credit Card,Loans,Current Account,Trading Account",Anand,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
51,,Jhansi,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
52,,Ghaziabad,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_Green_FD_Investment-facebook,NC
53,Saving Account,Mumbai,Not Contactable-Busy,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,NC
54,",Current Account",Gwalior,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
